model_output,target,scores,scores_inserts
abafo bayafuna dade namuhla,Abafo bayabafuna odade namuhla.,"['11111111110011111111111111111', '11111111111111111111111111111']","['[]', '[]']"
abafou bayabafuna odada namuhla,Abafo bayabafuna odade namuhla.,['11111111111111111111111111111'],['[]']
abafo bayabafuna udade namuhla,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111111111111111111111111111', '11111111111111111111111111111']","['[]', '[]', '[]']"
abafo bayafuna odade n namuhla,Abafo bayabafuna odade namuhla.,['11111111110011111111111111111'],['[]']
abafobaya bafundudanmsshl,Abafo bayabafuna odade namuhla.,"['11111111111111111111111111111', '11111101110111001111111111001']","['[]', '[]']"
abafo mhl,Abafo bayabafuna odade namuhla.,['10111101110011111011111111110'],['[]']
abafo ayabanadnuhla,Abafo bayabafuna odade namuhla.,['10111101110111111111111111111'],['[]']
abofa bayabafuna odade namuhla,Abafo bayabafuna odade namuhla.,['11010101110111111111111111111'],['[]']
abafobayanaadnamlula,Abafo bayabafuna odade namuhla.,['11111101110111111000001110000'],['[]']
niyangihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niyangihleka futhi,Niyangihleka futhi?,"['111111110111111', '111111111111111']","['[]', '[]']"
ingiyahlekha futhi,Niyangihleka futhi?,['011100110111111'],"['[""1""]']"
niyanqisheka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangihleka futhi,Niyangihleka futhi?,"['111111111111111', '111111111111111']","['[]', '[]']"
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niya ingishleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyanigihleka futhi,Niyangihleka futhi?,['111111111111111'],"['[""4""]']"
niyangihleka futhi,Niyangihleka futhi?,['111111111111111'],['[]']
niyangehlekha futhi,Niyangihleka futhi?,['111110110111111'],['[]']
ngiyanihlekafuthi,Niyangihleka futhi?,['011101111111111'],"['[""0""]']"
izikokho zimbi khodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110010111111110111111111111111111'],['[]']
izixoko zimbi khodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
isiqoka simbi khodwa izingubo sinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111011111111111111111111111111'],['[]']
izigxoko zimbi,Izigqoko zimbi kodwa izingubo zinhle.,"['1111011111111111111111111111111111', '1110001111111111111111111111111111']","['[]', '[]']"
izixqoko zimbi kodwa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqoko zimbi kowa izingubo zinhle,Izigqoko zimbi kodwa izingubo zinhle.,"['1111111111111111111111111111111111', '1111111111111111111111111111111111', '1111111111111111111111111111111111']","['[]', '[]', '[]']"
izigqoko zimbi,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111111111111111111111111'],['[]']
izin ngqogo zimbikhwadwa izingubozinshle,Izigqoko zimbi kodwa izingubo zinhle.,"['1110010111111110111111111111111001', '1111011111111110011111111111111111']","['[]', '[""4"", ""16""]']"
iziqokhozimbidwanubzinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110011111111110111111111111111111'],['[]']
izienqoko zimbi kholwaingubozihle,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111111'],['[]']
iziqokho zimbikholwal,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111101'],['[]']
iziqokhoizimbiodwaizinubzinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111110111111111111111111'],"['[""9"", ""29""]']"
inkhanyezi iyokhiyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inghanyezi iyokhanya,Inkanyezi iyokhanya.,['1101111111111111'],['[]']
inkhanyezi iyoghanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi zi iyokhanya,Inkanyezi iyokhanya.,"['1111111110111111', '1111111111111111']","['[""9""]', '[""8""]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
i inkanyezi iyokhanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
hathinkanyezi iyokhanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
inikhanyezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111', '1101111111111111']","['[]', '[""2""]', '[]']"
inkhanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi iyokanya,Inkanyezi iyokhanya.,['1111111111110111'],['[]']
ingkhangyezi iyokhana,Inkanyezi iyokhanya.,['1101111111111101'],['[]']
inhanjezi ikhonya,Inkanyezi iyokhanya.,['1111111111001011'],['[]']
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111111111111111']","['[]', '[]']"
ingiyalifuna ihashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111110111111111']","['[]', '[""0""]']"
ingiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
niyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna ihashe manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ingiyalifuna ishlishislashli manje,Ngiyalifuna ihhashi manje.,"['1111111111110001111111', '1111111111110101111111', '1111111111110101111111']","['[]', '[""0"", ""12"", ""14""]', '[""0""]']"
niingilifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['0100111111111111111111'],"['[""0""]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111110111111111'],['[]']
ngiyalifuna iihasimanje,Ngiyalifuna ihhashi manje.,['1111111111110101111111'],['[]']
ingiyalifunaihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],"['[""0""]']"
ungahlebi abanthu,Ungahlebi abantu.,['11101111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111011101111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungashlebi abanthu,Ungahlebi abantu.,"['11101111111101', '11111111111111']","['[]', '[]']"
unguhlebi amantho,Ungahlebi abantu.,['11011011101111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abanthu,Ungahlebi abantu.,['11111011101111'],['[]']
angabiliabans,Ungahlebi abantu.,['01100001101111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amaziniyomakhulu,Amazinyo makhulu.,"['11111011111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
amazinyomakhulu,Amazinyo makhulu.,['11111011111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amaziyomakhulu,Amazinyo makhulu.,['11111011111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11011111111111', '11111111111111']","['[]', '[""2""]', '[]']"
umlunguuyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111']","['[]', '[]']"
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umlungu yathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu,Umlungu uyathula.,['11111111111111'],['[]']
umlunguuyathula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umulungoayathula,Umlungu uyathula.,['11111110111111'],"['[""2""]']"
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlunguuyathula,Umlungu uyathula.,['11111111111111'],['[]']
imikhumbi iyawajabula amansi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi iyawadubhula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111011111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi yawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhubiiyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111110011111111111111111111', '111110111111111111111111111']","['[]', '[]']"
imikhombiiyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imighumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi  iyawadabulaamanzi,Imikhumbi iyawadabula amanzi.,['111111111111111101111111111'],['[]']
imikhubi ilwaulaamazi,Imikhumbi iyawadabula amanzi.,['111110011111111000111111111'],['[]']
izombona umlungu,Sizombona umlungu.,['1111001111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
nizombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '0011111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona,Sizombona umlungu.,['1111111111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,"['1111000111111111', '1111111111111111', '1111101111111111']","['[]', '[]', '[]']"
sizombanaulungu,Sizombona umlungu.,"['1111010111111111', '1111110111101111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,['1111101111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
izobhona umlungu,Sizombona umlungu.,['0111001111111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[""0""]', '[""0""]']"
niyalinga,Ngiyalinga.,['01111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[""0""]']"
ingiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ingiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
umunthu uzofikha nini,Umuntu uzofika nini?,"['1111011111110111111', '1111111111110111111']","['[]', '[]']"
umunthu uzofikha nini,Umuntu uzofika nini?,"['1111011111110111111', '1111011111110111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111', '1111111111111111111']","['[]', '[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umuntuka,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umunthu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111111111111111111', '1111011111111111111']","['[]', '[]', '[]']"
umuntuuzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umunthu uzofikha nini,Umuntu uzofika nini?,['1111111111110111111'],['[]']
umuthiuzofika nii,Umuntu uzofika nini?,['1110001111110111111'],['[]']
suka,Suka!,"['1101', '1111', '1101']","['[]', '[]', '[]']"
suka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,['1111'],['[]']
huka,Suka!,"['1111', '0111']","['[]', '[]']"
ahluka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,"['1111', '1111', '1111']","['[]', '[]', '[]']"
suka,Suka!,['1111'],['[]']
soka,Suka!,['1111'],['[]']
sukha,Suka!,['1101'],['[]']
suka,Suka!,['1111'],['[]']
hlukha,Suka!,['1101'],['[]']
suka,Suka!,"['1111', '1111']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1101111011110111'],['[]']
yebo,"Yebo, libi impela.",['1111111111110111'],['[]']
yebo,"Yebo, libi impela.","['1111111111100111', '1111111111111111', '1101111011110111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111110010', '1101111011110010']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111110011'],['[]']
yebo,"Yebo, libi impela.",['1101111011111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111111111', '1101111011110111']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111011'],"['[""13""]']"
abanthu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '10110111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '10111111111111111111111']","['[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule nam namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namanshle,Abantu abathule namhlanje.,"['11111111111111111100111', '10111111111111111111001']","['[]', '[]']"
abanthu,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathulenamhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathulenamhlanje,Abantu abathule namhlanje.,['10110111011111111111111'],['[]']
abantsubale ne,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
uyobhopha,Uyobopha.,"['1110111', '1110111']","['[]', '[]']"
uyobhopha,Uyobopha.,['1110111'],['[]']
uyobhopha,Uyobopha.,['1110111'],['[]']
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,['1111111'],['[]']
uyobopha,Uyobopha.,['1111111'],['[]']
uyobhopha,Uyobopha.,"['1110111', '1110111', '1111111']","['[]', '[]', '[]']"
uyabupha,Uyobopha.,['1101111'],['[]']
uyobhopha,Uyobopha.,['1110111'],['[]']
uyobhopha,Uyobopha.,['1111111'],['[]']
uyobhuhla,Uyobopha.,['1110000'],['[]']
sisohlala laphaifunde,"Sizohlala lapha, sifunde.",['111101111111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.","['111111111111111111111', '111101111111111111111']","['[]', '[]']"
uzohlala laphad,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
izohlala lapha,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111', '111111111111111111111']","['[]', '[]', '[]']"
sizohlala laphad,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizoshlashla lapha,"Sizohlala lapha, sifunde.","['111101011111111111111', '111101011111111111111']","['[]', '[]']"
sizohlahlalapha,"Sizohlala lapha, sifunde.",['111111011111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala laphe,"Sizohlala lapha, sifunde.",['111111111111011111111'],['[]']
abanthwana balobe khahle khakhulu,Abantwana balobe kahle kakhulu.,['1111011111111111101011011111'],['[]']
abanthwana balophe khahle khakhulu,Abantwana balobe kahle kakhulu.,"['1111011111111101101111011111', '1111011111111111101111011111']","['[]', '[]']"
abantwana balobile khahlekhakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111100101111011111', '1111111111011101101111011111']","['[]', '[""16""]']"
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
bantwana baloba kahle kakhulu,Abantwana balobe kahle kakhulu.,['0111111111111111111111111111'],['[]']
abantwanak,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
habawanabathwana abalube khashle khakhulu,Abantwana balobe kahle kakhulu.,"['1111011111111011111111111111', '1110011111111011101111011111']","['[""13""]', '[]']"
abantwana lkhahlehakhulu,Abantwana balobe kahle kakhulu.,['1111111111000000101111011111'],['[]']
abantwana balobe khahle khakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abantwana bahlobeahlhulu,Abantwana balobe kahle kakhulu.,['1111111111110111101111011111'],['[]']
abanthwana lelehu,Abantwana balobe kahle kakhulu.,['1011011111011101101111011111'],['[]']
ukhuhla khakhumnandi,Ukudla kwakumnandi.,"['10111101101111111', '11111111111111111', '10111101101111111']","['[]', '[""2"", ""7"", ""10""]', '[]']"
ukhudla khwakhumnandi,Ukudla kwakumnandi.,['11111101101111111'],['[]']
ukhuhla khamnandi,Ukudla kwakumnandi.,['10111101100111111'],['[]']
ukudla kwakumnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla wakumnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
ukudla kwakumnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111', '11111111111111111']","['[]', '[]', '[]']"
ukudla kwakumnndi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla khwakhumnandi,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukhudla khwakhumanandi,Ukudla kwakumnandi.,['10111101101111111'],"['[""12""]']"
ukhulwa khakhumnandi,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukhudla khwakhumnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
khuhla khwakhudi,Ukudla kwakumnandi.,['00111101101111111'],['[]']
siyathanda ukhuhlabelela khakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111101111111111011111', '1111111111101011111111011111']","['[]', '[]']"
siyathanda ukuhlabelela khakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111011111'],['[]']
siyathanda ukhuhlabhelela khakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111101110111111011111']","['[]', '[]']"
iyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
yathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['0011111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
siyathanda ukushlabalela khakhulo,Siyathanda ukuhlabelela kakhulu.,['1111111111111010111111011111'],['[]']
siyathandaukhulbhabhelakhakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101010100111011111'],['[]']
siyathanda ukhuhlabhelela khakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda ukohlabelela khakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda uhhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111011110111111011111'],['[]']
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111101111111']","['[]', '[]']"
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111101111111', '111111110111101101101111']","['[]', '[]']"
abazali bakho bayasibenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza? ,"['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111111111111', '111111111111111111111111']","['[]', '[]', '[]']"
abazali bakhona,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111110111101111101111']","['[]', '[]']"
abazilibakhobayana,Abazali bakho bayasebenza?,['111101111111111111111111'],"['[""4""]']"
abazali bakhobayasebenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasabenza,Abazali bakho bayasebenza?,['111111110111101111001111'],['[]']
abazali y,Abazali bakho bayasebenza?,['101111110111101111101111'],['[]']
intho imbi,Into imbi.,['110111111'],['[]']
intho imbi,Into imbi.,['110111111'],['[]']
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,['111111111'],['[]']
no imbi,Into imbi.,"['011111111', '011111111']","['[]', '[]']"
into embi,Into imbi.,['111111111'],['[]']
intho imbi,Into imbi.,"['110111111', '110111111']","['[]', '[]']"
ininso imbi,Into imbi.,['110111111'],"['[""1""]']"
into imbi,Into imbi.,['111111111'],['[]']
intho imbi,Into imbi.,['110111111'],['[]']
intho imbi,Into imbi.,"['111111111', '110111111']","['[]', '[]']"
uxholo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uxolo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,"['11111', '10111']","['[]', '[]']"
uxolo,Uxolo.,['10111'],['[]']
uxolo,Uxolo.,"['11111', '11111', '11111']","['[]', '[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
unxozo,Uxolo.,['11101'],['[]']
uxholo,Uxolo.,['10111'],['[]']
uxholo,Uxolo.,"['11111', '11111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uxolo,Uxolo.,['11111'],['[]']
siyakhuluma futhi,Siyakhuluma futhi.,"['111111111111111', '111111111111111']","['[]', '[]']"
iyakhuluma futhi,Siyakhuluma futhi.,"['111111111111111', '111111111111111']","['[]', '[]']"
siyakhuluma futhi,Siyakhuluma futhi.,['111111111111111'],['[]']
nyakhuluma futhi,Siyakhuluma futhi.,['111111111111111'],['[]']
