model_output,target,scores,scores_inserts
iziqoko zimbi khodwaizingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111111'],['[]']
izigxoo zimbikholwa izingubozinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1110111111111111111111111111111101'],['[]']
izingqokoizimbi khodwa izinkubuzinhle,Izigqoko zimbi kodwa izingubo zinhle.,['1111111111111110111111111111111111'],"['[""9"", ""29""]']"
ikanyezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,['1101111111111111'],['[]']
inkanyezi iyonkanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111110111111', '1111111111111111']","['[""9""]', '[""8""]']"
inkanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
inkanyezi iyo khanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
inkanyezi iyokhanya,Inkanyezi iyokhanya.,['1111111111111111'],['[]']
inkhaniyezi iyokhanya,Inkanyezi iyokhanya.,"['1101111111111111', '1101111111111111', '1101111111111111']","['[]', '[""2""]', '[]']"
inkhanyezi iyokhanya,Inkanyezi iyokhanya.,"['1111111111111111', '1101111111111111']","['[]', '[]']"
inkanyezi iyokanya,Inkanyezi iyokhanya.,['1111111111110111'],['[]']
inkanjezi iyokhana,Inkanyezi iyokhanya.,['1101111111111101'],['[]']
inganjezi ikhonya,Inkanyezi iyokhanya.,['1111111111001011'],['[]']
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111111111111111']","['[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111110111111111', '1111111111110111111111']","['[]', '[""0""]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna ihhashe manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],['[]']
ingiyalifuna ishlashli manje,Ngiyalifuna ihhashi manje.,"['1111111111110001111111', '1111111111110101111111', '1111111111110101111111']","['[]', '[""0"", ""12"", ""14""]', '[""0""]']"
nikilivuna iyashi manje,Ngiyalifuna ihhashi manje.,['0100111111111111111111'],"['[""0""]']"
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111110111111111'],['[]']
ngiyalifuna s] ihasi manje,Ngiyalifuna ihhashi manje.,['1111111111110101111111'],['[]']
ngiyalifuna ihhashi manje,Ngiyalifuna ihhashi manje.,['1111111111111111111111'],"['[""0""]']"
ungahl ebi abantu,Ungahlebi abantu.,['11101111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111011101111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '10111111111111']","['[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
unngahlebi abantu,Ungahlebi abantu.,"['11101111111101', '11111111111111']","['[]', '[]']"
unguhlebi amatu,Ungahlebi abantu.,['11011011101111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111111111111'],['[]']
ungahlebi abantu,Ungahlebi abantu.,['11111011101111'],['[]']
angabhili a,Ungahlebi abantu.,['01100001101111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,"['11111011111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
amazinyo makhulu,Amazinyo makhulu.,['11111011111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,['11111111111111'],['[]']
amazinyo makhulu,Amazinyo makhulu.,"['11111111111111', '11111111111111']","['[]', '[]']"
amaziyo makhulu,Amazinyo makhulu.,['11111011111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11011111111111', '11111111111111']","['[]', '[""2""]', '[]']"
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111']","['[]', '[]']"
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umlungu yathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,"['11111111111111', '11111111111111', '11111111111111']","['[]', '[]', '[]']"
umlungu ayathula,Umlungu uyathula.,['11111110111111'],"['[""2""]']"
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
umlungu uyathula,Umlungu uyathula.,['11111111111111'],['[]']
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi iyawadubula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111011111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi yawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111111111111111']","['[]', '[]']"
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhubi iyawadabhula amanzi,Imikhumbi iyawadabula amanzi.,"['111110011111111111111111111', '111110111111111111111111111']","['[]', '[]']"
imikhombi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,"['111111111111111111111111111', '111111111111111101111111111']","['[]', '[]']"
imigumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111111111111111'],['[]']
imikhumbi iyawadabula amanzi,Imikhumbi iyawadabula amanzi.,['111111111111111101111111111'],['[]']
imikhubi ilwabula amazi,Imikhumbi iyawadabula amanzi.,['111110011111111000111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111001111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
sizombona um lungu,Sizombona umlungu.,['1111111111111111'],['[]']
izombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '0011111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,"['1111000111111111', '1111111111111111', '1111101111111111']","['[]', '[]', '[]']"
sizumbana ulungu,Sizombona umlungu.,"['1111010111111111', '1111110111101111']","['[]', '[]']"
sizombona umlungu,Sizombona umlungu.,['1111101111111111'],['[]']
sizombona umlungu,Sizombona umlungu.,['1111111111111111'],['[]']
izobona umlungu,Sizombona umlungu.,['0111001111111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[""0""]', '[""0""]']"
niyalinga,Ngiyalinga.,['01111111'],['[]']
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ingiyalinga,Ngiyalinga.,"['11111111', '11111111']","['[]', '[""0""]']"
ngiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ngiyalinga,Ngiyalinga.,['11111111'],['[]']
ngiyalinga,Ngiyalinga.,['11111111'],"['[""0""]']"
kumuntu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111111111110111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111011111110111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111', '1111111111111111111']","['[]', '[]', '[]']"
umuntu uzofiza nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,"['1111011111110111111', '1111111111111111111', '1111011111111111111']","['[]', '[]', '[]']"
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111111111111'],['[]']
umuntu uzofika nini,Umuntu uzofika nini?,['1111111111110111111'],['[]']
umuthi uzofika nini,Umuntu uzofika nini?,['1110001111110111111'],['[]']
suka,Suka!,"['1101', '1111', '1101']","['[]', '[]', '[]']"
suka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,['1111'],['[]']
luka,Suka!,"['1111', '0111']","['[]', '[]']"
asuka,Suka!,"['1111', '1111']","['[]', '[]']"
suka,Suka!,"['1111', '1111', '1111']","['[]', '[]', '[]']"
suka,Suka!,['1111'],['[]']
suka,Suka!,['1111'],['[]']
suka,Suka!,['1101'],['[]']
suka,Suka!,['1111'],['[]']
hluka,Suka!,['1101'],['[]']
suka,Suka!,"['1111', '1111']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1101111011110111'],['[]']
yebo,"Yebo, libi impela.",['1111111111110111'],['[]']
yeboiim,"Yebo, libi impela.","['1111111111100111', '1111111111111111', '1101111011110111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.","['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111110010', '1101111011110010']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111110011'],['[]']
yebo,"Yebo, libi impela.",['1101111011111111'],['[]']
yebo,"Yebo, libi impela.","['1111111111111111', '1101111011110111']","['[]', '[]']"
yebo,"Yebo, libi impela.",['1111111111111011'],"['[""13""]']"
abantu abathule namshanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '10110111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '10111111111111111111111']","['[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,"['11111111111111111111111', '11111111111111111111111', '11111111111111111111111']","['[]', '[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namandla,Abantu abathule namhlanje.,"['11111111111111111100111', '10111111111111111111001']","['[]', '[]']"
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
abantu abathule namhlanje,Abantu abathule namhlanje.,['10110111011111111111111'],['[]']
abantu abathule nmanje,Abantu abathule namhlanje.,['11111111111111111111111'],['[]']
uyobopha,Uyobopha.,"['1110111', '1110111']","['[]', '[]']"
uyobobha,Uyobopha.,['1110111'],['[]']
uyobhopha,Uyobopha.,['1110111'],['[]']
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,"['1111111', '1111111']","['[]', '[]']"
uyobopha,Uyobopha.,['1111111'],['[]']
uyobopha,Uyobopha.,['1111111'],['[]']
uyobobha,Uyobopha.,"['1110111', '1110111', '1111111']","['[]', '[]', '[]']"
uyakupha,Uyobopha.,['1101111'],['[]']
uyoboha,Uyobopha.,['1110111'],['[]']
uyobopha,Uyobopha.,['1111111'],['[]']
uyobhuhla,Uyobopha.,['1110000'],['[]']
sisohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111101111111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.","['111111111111111111111', '111101111111111111111']","['[]', '[]']"
sizohlala lapha sifunde,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111', '111111111111111111111']","['[]', '[]', '[]']"
sizohlala labha sifunde,"Sizohlala lapha, sifunde.","['111111111111111111111', '111111111111111111111']","['[]', '[]']"
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizoshlasla laphai,"Sizohlala lapha, sifunde.","['111101011111111111111', '111101011111111111111']","['[]', '[]']"
sizohlahla lapha,"Sizohlala lapha, sifunde.",['111111011111111111111'],['[]']
sizohlala lapha,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala lapha n,"Sizohlala lapha, sifunde.",['111111111111111111111'],['[]']
sizohlala laphe,"Sizohlala lapha, sifunde.",['111111111111011111111'],['[]']
abantwana balobe khahle kakhulu,Abantwana balobe kahle kakhulu.,['1111011111111111101011011111'],['[]']
abantwana balophe kahle kakhulu,Abantwana balobe kahle kakhulu.,"['1111011111111101101111011111', '1111011111111111101111011111']","['[]', '[]']"
abantwana balobile kahle kakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111100101111011111', '1111111111011101101111011111']","['[]', '[""16""]']"
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abantwana baloba kahle kakhulu,Abantwana balobe kahle kakhulu.,['0111111111111111111111111111'],['[]']
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
s] abathwana balube kale kakhulu,Abantwana balobe kahle kakhulu.,"['1111011111111011111111111111', '1110011111111011101111011111']","['[""13""]', '[]']"
abantwana la kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111000000101111011111'],['[]']
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111111111111111111111'],['[]']
abantwana bahlobekahle kakhulu,Abantwana balobe kahle kakhulu.,['1111111111110111101111011111'],['[]']
abantwana balobe kahle kakhulu,Abantwana balobe kahle kakhulu.,['1011011111011101101111011111'],['[]']
ukudla kwaku mnandi,Ukudla kwakumnandi.,"['10111101101111111', '11111111111111111', '10111101101111111']","['[]', '[""2"", ""7"", ""10""]', '[]']"
ukudla kwa kumnandi,Ukudla kwakumnandi.,['11111101101111111'],['[]']
ukudla kwa mnandi,Ukudla kwakumnandi.,['10111101100111111'],['[]']
ukudla kwakumnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla kwakumnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
ukudla kwakumnandi,Ukudla kwakumnandi.,"['11111111111111111', '11111111111111111', '11111111111111111']","['[]', '[]', '[]']"
ukudla kwakumnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
ukudla kwaku mnandi,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukudla kwakhumanand,Ukudla kwakumnandi.,['10111101101111111'],"['[""12""]']"
ukhudla khwakho mnandi,Ukudla kwakumnandi.,['10111101101111111'],['[]']
ukudla kwako mnandi,Ukudla kwakumnandi.,['11111111111111111'],['[]']
kuhla kwa kuundandi,Ukudla kwakumnandi.,['00111101101111111'],['[]']
iyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111101111111111011111', '1111111111101011111111011111']","['[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111011111'],['[]']
siyathanda ukuhlabhelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111101110111111011111']","['[]', '[]']"
uyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
yathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['0011111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111111111111111111'],['[]']
siyathanda ukushlabalela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111111010111111011111'],['[]']
siyathanda ukubabhela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101010100111011111'],['[]']
siyathanda ukuhlabhelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda ukuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111101110111111011111'],['[]']
siyathanda kuhlabelela kakhulu,Siyathanda ukuhlabelela kakhulu.,['1111111111011110111111011111'],['[]']
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111101111111']","['[]', '[]']"
abazali bakho bayesebenza,Abazali bakho bayasebenza?,"['111111111111111101111111', '111111110111101101101111']","['[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza? ,"['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111111111111111111111', '111111111111111111111111']","['[]', '[]', '[]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111111111111111111111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,"['111111111111111111111111', '111111110111101111101111']","['[]', '[]']"
abazili bakho bayazebenza,Abazali bakho bayasebenza?,['111101111111111111111111'],"['[""4""]']"
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111110111101111101111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['111111110111101111001111'],['[]']
abazali bakho bayasebenza,Abazali bakho bayasebenza?,['101111110111101111101111'],['[]']
into imbi,Into imbi.,['110111111'],['[]']
into imbi,Into imbi.,['110111111'],['[]']
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,"['111111111', '111111111']","['[]', '[]']"
into imbi,Into imbi.,['111111111'],['[]']
ndoimbi,Into imbi.,"['011111111', '011111111']","['[]', '[]']"
into embi,Into imbi.,['111111111'],['[]']
into imbi,Into imbi.,"['110111111', '110111111']","['[]', '[]']"
ininso imbi,Into imbi.,['110111111'],"['[""1""]']"
into imbi,Into imbi.,['111111111'],['[]']
itho imbi,Into imbi.,['110111111'],['[]']
into imbi,Into imbi.,"['111111111', '110111111']","['[]', '[]']"
uxolo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uqolo,Uxolo.,"['10111', '10111']","['[]', '[]']"
uxolo,Uxolo.,"['11111', '10111']","['[]', '[]']"
ucolo,Uxolo.,['10111'],['[]']
uxolo,Uxolo.,"['11111', '11111', '11111']","['[]', '[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
unxozo,Uxolo.,['11101'],['[]']
uxolo,Uxolo.,['10111'],['[]']
uxholo,Uxolo.,"['11111', '11111']","['[]', '[]']"
uxolo,Uxolo.,['11111'],['[]']
uxolo,Uxolo.,['11111'],['[]']
siyakhuluma futhi,Siyakhuluma futhi.,"['111111111111111', '111111111111111']","['[]', '[]']"
siyakhuluma futhi,Siyakhuluma futhi.,"['111111111111111', '111111111111111']","['[]', '[]']"
